id	modality	theme	title	publication_date	journal	doi	pmid	evidence_type	concrete_content	decision_changed	constraints	skill_action	writing_requirement	jif_value	jif_year	jif_source
BK23	bulk cancer transcriptomics	deconvolution study-design guide	A guide to transcriptomic deconvolution in cancer	2025-12-02	Nature Reviews Cancer	10.1038/s41568-025-00886-9	41331516	decision review	The review organizes 43 methods into reference-based, semi-reference-based and reference-free routes with a cancer deconvolution decision tree.	Choose method family from the target estimand, reference availability and validation plan before algorithm selection.	A review is not a head-to-head truth benchmark and its focus is cancer.	Use the taxonomy to route the task, then require tissue-relevant benchmark and orthogonal truth from primary evidence.	Methods must justify the selected family/reference; Discussion must not cite the review as direct validation.	60.7	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK24	bulk expression clinical resource	outcome association and cohort reuse	PRECOG update: an augmented resource of clinical outcome associations with gene expression for adult, pediatric, and immunotherapy cohorts	2025-11-17	Nucleic Acids Research	10.1093/nar/gkaf1215	41243951	curated data resource	PRECOG adds more than 10000 patients including pediatric and immune-checkpoint cohorts and provides gene-expression, outcome and estimated-cell associations.	Use large resources for hypothesis replication only after overlap, endpoint and cohort heterogeneity checks.	Most analyses are observational and heterogeneous; cross-cohort significance is not individual prediction, treatment interaction or causality.	Create an accession/publication overlap audit and independently freeze/test any derived signature.	Report source cohorts, overlap, endpoints and heterogeneity; use association rather than prediction language unless a frozen model is tested.	15.0	2025	https://academic.oup.com/nar/pages/about
BK25	public bulk perturbation RNA-seq resource	genetic perturbation reference	PerturbAtlas: a comprehensive atlas of public genetic perturbation bulk RNA-seq datasets	2024-10-01	Nucleic Acids Research	10.1093/nar/gkae851	39351872	resource	PerturbAtlas uniformly reanalyzes 122801 public bulk RNA-seq libraries across genetic perturbations with gene, transcript and splicing layers.	Use perturbation recurrence to prioritize mechanisms and replication experiments while retaining study/condition provenance.	Metadata, cell line, dose, timing and study quality are heterogeneous; cross-study consistency does not itself prove causal relevance in the target tissue.	Trace every supporting result to original experiments and require target-context perturbation before a mechanism claim.	Methods must name atlas version/query and source studies; Discussion must state context mismatch and hypothesis-generating role.	15.0	2025	https://academic.oup.com/nar/pages/about
BK26	bulk tumor transcriptomics resource	tumor immune deconvolution reference	TIMER3: an enhanced resource for tumor immune analysis	2025-05-08	Nucleic Acids Research	10.1093/nar/gkaf388	40337924	resource; analysis platform	TIMER3 expands cross-cancer and treatment-context immune analysis with multiple deconvolution algorithms and tumor-purity-aware associations.	Use multiple algorithms and cancer context for external plausibility checks, not one immune score as truth.	Algorithms may disagree and purity/cancer-type composition can drive associations; scores are not absolute cell counts or treatment-causal evidence.	Report algorithm consensus/discordance, purity adjustment and independent tissue validation.	Methods must document platform/version and algorithms; Results must show discordance; legends must say estimated immune score.	15.0	2025	https://academic.oup.com/nar/pages/about
BK27	clinical bulk transcriptome resource	therapy response and resistance validation	CTR-DB 2.0: an updated cancer clinical transcriptome resource, expanding primary drug resistance and newly adding acquired resistance datasets and enhancing the discovery and validation of predictive biomarkers	2024-11-04	Nucleic Acids Research	10.1093/nar/gkae993	39494527	resource	CTR-DB 2.0 includes 10856 patients, 39 cancer types, 346 treatment regimens and paired acquired-resistance datasets for response biomarker exploration.	Use therapy-aware external cohorts only after harmonizing treatment, endpoint, time and patient overlap.	Source cohorts and platforms are heterogeneous; response association in the database is not prespecified predictive interaction or clinical utility.	Deduplicate, freeze the candidate, test an appropriate treatment comparison and report transport/failure.	Methods and Results must identify source studies, therapy/endpoint definitions and independent status; Discussion must avoid untested benefit claims.	15.0	2025	https://academic.oup.com/nar/pages/about
BK28	public bulk RNA-seq stress resource	stress-response confounding reference	ASTRA: a comprehensive resource of stress-induced transcriptional activity in human cell lines	2025-11-20	Nucleic Acids Research	10.1093/nar/gkaf1174	41263110	resource	ASTRA standardizes human cell-line bulk RNA-seq across oxidative stress, hypoxia, heat shock and DNA damage to distinguish common and stress-specific programs.	Check whether an apparent disease or imaging pathway resembles a generic processing/stress response before mechanistic interpretation.	Cell lines, doses and time points do not represent patient tissue, and resource overlap is contextual evidence rather than truth.	Use stress signatures as negative-control/sensitivity programs and verify in target tissue or perturbation.	Report database/version and similarity analysis; Discussion must label stress confounding and cell-line transfer limits.	15.0	2025	https://academic.oup.com/nar/pages/about
BK29	bulk RNA-seq co-expression	co-expression connectivity and cellular interpretation	Analysis of gene co-expression connectivity dynamics implicates aberrant neuron-oligodendroglia interactions in schizophrenia	2026-07-16	Nature Communications	10.1038/s41467-026-75470-2	42463512	multi-region bulk cohort; cross-modal validation	Large bulk cohorts from three brain regions were used to analyze connectivity dynamics, with single-nucleus and organoid evidence for neuron-oligodendroglia findings.	Require region/cohort stability and composition or cross-modal checks before interpreting a bulk co-expression module.	The observational schizophrenia-brain network is disease/tissue-specific; co-expression, cell interaction, regulation and causality are distinct.	Test module preservation, composition sensitivity and independent/orthogonal support and use associative network wording.	Methods and legends must define edges/connectivity; Results must show preservation; Discussion must not call hubs regulators without intervention.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK30	public multi-condition transcriptomes	condition-specific co-expression networks	Constructing gene co-functional and co-regulatory networks from public transcriptomes using condition-specific ensemble co-expression	2026-04-30	Nature Communications	10.1038/s41467-026-72380-1	42062278	method; benchmark	Condition-specific partitioning and ensemble metrics were applied to more than 450000 public samples across 12 species to construct co-expression networks.	Use condition-aware ensembles and validation rather than treating one pooled public correlation matrix as universal biology.	Residual metadata/batch/composition imbalance remains and a co-expression edge is not a direct regulatory edge.	Document public-data composition, test network stability and validate proposed regulation experimentally.	Report condition selection, edge definition and validation; legends must state undirected association unless regulatory evidence exists.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK31	bulk RNA-seq exon inclusion	splicing-factor activity inference	Exon inclusion signatures enable accurate estimation of splicing factor activity	2026-03-12	Nature Communications	10.1038/s41467-026-69642-3	41820334	method benchmark; perturbation-derived network	Perturbation-derived splicing-factor-to-exon networks were benchmarked with VIPER to estimate latent splicing-factor activity from exon-inclusion signatures.	Distinguish inferred functional activity from the splicing factor gene expression level.	Activity depends on transferable perturbation networks, coverage, normalization, purity and composition and is not a direct biochemical measurement.	Report network provenance and sensitivity and validate key regulators by perturbation or functional assay.	Use “inferred activity” in Results/legends; Methods must specify network and scoring; Discussion must avoid direct-activity claims.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
BK32	tumor bulk transcriptomics in randomized trials	prognostic versus treatment-predictive classifier	Tumor transcriptome-wide expression classifiers predict treatment sensitivity in advanced prostate cancers	2025-08-26	Cell	10.1016/j.cell.2025.07.042	40865526	randomized phase III trial biomarker analysis	Transcriptome-wide classifiers were evaluated in 1523 randomized phase III trial patients; the Decipher analysis was prespecified, whereas the PTEN–docetaxel predictive interaction was not prespecified and requires confirmation.	Reserve treatment-predictive language for a valid interaction and report separately whether the classifier and interaction were prespecified.	Evidence is advanced-prostate-cancer and treatment-specific; the non-prespecified PTEN–docetaxel interaction is exploratory and subgroup findings do not automatically generalize or establish mechanism.	Separate the prespecified Decipher analysis from exploratory PTEN results, report prognostic main effects and interaction estimates, and require a frozen new intended-use validation.	Methods must state which analyses were prespecified; Results and figures must separate Decipher and PTEN evidence with arm-specific effects and interaction CI; Discussion must label the PTEN interaction exploratory.	45.1	2025	https://www.sciencedirect.com/journal/cell/about/insights
BK33	bulk transcriptomics with proteomics	RNA-to-protein prediction	T2Pdecoder enables protein-centric analyses from transcriptomic data	2026-06-11	Nature Communications	10.1038/s41467-026-74209-3	42277023	method; benchmark	T2Pdecoder models RNA-to-protein relationships to expand predictable proteins and was principally evaluated in IDH-mutant glioma multi-omics data.	Permit protein-candidate prioritization from RNA only when every output is explicitly labeled predicted and compared with measured proteomics.	RNA-protein concordance is limited and validation is disease-specific; predicted protein is not a proteomic measurement.	Require held-out cross-disease/platform testing and direct protein validation for biological or clinical claims.	Methods and legends must label predicted versus measured protein; Results must report prediction error; Discussion must avoid proteomic truth wording.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
