id	modality	theme	title	publication_date	journal	journal_family	doi	pmid	url	evidence_type	jif_value	jif_year	jif_source	concrete_content	decision_changed	constraints	skill_action	writing_requirement
SC11R	scRNA-seq	annotation-LLM	CASSIA: a multi-agent large language model for automated and interpretable cell annotation	2025-12-07	Nature Communications	Nature Portfolio	10.1038/s41467-025-67084-x	41354665	https://doi.org/10.1038/s41467-025-67084-x	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses a multi-agent LLM workflow for annotation across 970 cell types with explicit reasoning, quality assessment, confidence and hallucination controls.	Allows LLMs as auditable proposal generators but requires their reasoning to be checked against markers, references and uncertainty.	Model/prompt and knowledge bias; fluent reasoning is not evidence and rare/novel cells need manual review.	Version prompts/models; cite marker evidence; compare reference/consensus labels; assign unknown when confidence is low.	Methods: model/prompt/version and inputs; Results: concordance/confidence; Legend: LLM-derived labels; Discussion: hallucination and knowledge limits.
SC12	scRNA-seq	cell-state-programs	Reproducible single-cell annotation of programs underlying T cell subsets, activation states and functions	2025-09-03	Nature Methods	Nature Portfolio	10.1038/s41592-025-02793-1	40903640	https://doi.org/10.1038/s41592-025-02793-1	primary	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	TCAT/starCAT derives reproducible continuous T-cell programs from about 1.7 million cells across 700 individuals and 38 tissues.	Requires continuous activation/function programs to be separated from discrete subtype identity.	Core validation is T-cell centered; a program score is not a distinct lineage or universal cell type.	Annotate class and program separately; test program stability by donor/tissue and avoid forced subtype splits.	Methods: program derivation/reference; Results: donor/tissue reproducibility; Legend: score versus label; Discussion: T-cell and continuum limits.
SC13R	scRNA-seq	metacell-validation	mcRigor: a statistical method to enhance the rigor of metacell partitioning in single-cell data analysis	2025-09-29	Nature Communications	Nature Portfolio	10.1038/s41467-025-63626-5	41022768	https://doi.org/10.1038/s41467-025-63626-5	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses double-permutation statistical testing to assess metacell homogeneity and tune partitioning methods/hyperparameters.	Prevents metacells from being accepted as homogeneous simply because an algorithm produced them.	Applies to metacell partitions; genuine biological continua may appear heterogeneous and test validity depends on null assumptions.	Test partition homogeneity; compare hyperparameters; exclude unstable metacells from primary aggregation.	Methods: partition and null/permutation; Results: homogeneity/stability; Legend: metacell composition; Discussion: continuum and null-model limits.
SC14	scRNA-seq+orthogonal DNA	malignancy-RNA-CNV	Benchmarking scRNA-seq copy number variation callers	2025-10-02	Nature Communications	Nature Portfolio	10.1038/s41467-025-62359-9	41038850	https://doi.org/10.1038/s41467-025-62359-9	benchmark	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Benchmarks six RNA-CNV callers on 21 datasets against scWGS/WES truth and shows strong dependence on reference cells, allelic information and data size.	Makes RNA-CNV supporting evidence rather than malignancy truth and requires orthogonal validation for decisive clone claims.	RNA expression is an indirect CNV signal; reference contamination, coverage and caller choice alter results.	Audit normal reference and caller sensitivity; report concordance; validate key malignancy/clone assignments with DNA/pathology.	Methods: caller, reference and DNA truth; Results: concordance/uncertainty; Legend: RNA-derived CNV; Discussion: not DNA truth.
SC15	scRNA-seq	sample-aware-DE	Method of moments framework for differential expression analysis of single-cell RNA sequencing data	2024-10-24	Cell	Cell Press	10.1016/j.cell.2024.09.044	39454576	https://doi.org/10.1016/j.cell.2024.09.044	primary	45.1	2025	https://www.sciencedirect.com/journal/cell/about/insights	Memento estimates condition effects on expression mean, variability and gene-gene correlation at large scale.	Broadens DE estimands beyond the mean while requiring grouping, uncertainty and multiplicity to be explicit.	Results depend on grouping/design and adequate biological replication; moment changes are associations, not mechanisms.	Choose mean/variability/correlation estimand; test donor consistency; correct the declared family of hypotheses.	Methods: estimand, groups and design; Results: effect/interval/FDR; Legend: moment and biological n; Discussion: association and replication limits.
SC16R	Perturb-seq	perturbation-DE	Transcriptome-wide analysis of differential expression in perturbation atlases	2025-04-21	Nature Genetics	Nature Portfolio	10.1038/s41588-025-02169-3	40259084	https://doi.org/10.1038/s41588-025-02169-3	primary	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	TRADE models the distribution of true transcriptome-wide perturbation effects separately from estimation error and reveals impacts missed by standard tests.	Adds a transcriptome-wide perturbation-impact estimand instead of equating the number of significant genes with effect magnitude.	Perturbation-atlas specific; aggregate impact does not replace gene-level effects, target engagement or donor-level inference.	Report both transcriptome-wide and gene-level effects; model estimation error; verify controls and perturbation efficiency.	Methods: perturbation design and error model; Results: aggregate plus gene effects; Legend: estimand; Discussion: atlas-specific scope.
SC17	scRNA-seq	sample-aware-DE	FLASH-MM: fast and scalable single-cell differential expression analysis using linear mixed-effects models	2026-02-05	Nature Communications	Nature Portfolio	10.1038/s41467-026-69063-2	41644528	https://doi.org/10.1038/s41467-026-69063-2	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses scalable linear mixed-effects models to account for sample correlation and individual variation with benchmarked false-positive control and power.	Makes sample correlation explicit when cell-level modeling is used and rejects cells-as-independent-n analyses.	Requires model diagnostics and sufficient samples; rare states remain low powered despite many cells.	Specify random/fixed effects; inspect calibration and donor influence; compare with pseudobulk sensitivity.	Methods: formula, random effects and diagnostics; Results: effect/interval/donor stability; Legend: patient n; Discussion: rare-state power.
SC18	scRNA-seq	weak-label-disease-cells	HiDDEN: a machine learning method for detection of disease-relevant populations in case-control single-cell transcriptomics data	2024-11-02	Nature Communications	Nature Portfolio	10.1038/s41467-024-53666-8	39487129	https://doi.org/10.1038/s41467-024-53666-8	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Refines case-control sample labels to probabilistic cell-level disease relevance and detects small or mildly affected subsets.	Prevents copying case status to every cell and treats disease relevance as a weak-label inference requiring validation.	Probabilistic output can be circular if evaluated with reused markers; depends on controls and independent validation.	Audit negative controls and label leakage; report probabilities/uncertainty; validate nominated cells independently.	Methods: weak labels, controls and splits; Results: cell subset plus donor replication; Legend: inferred probability; Discussion: not cell truth.
SC19	scRNA-seq+single-cell phenotyping	weak-label-rare-cells	Annotation-free discovery of disease-relevant cells in single-cell datasets	2025-08-27	Science Advances	AAAS	10.1126/sciadv.adv5019	40864714	https://doi.org/10.1126/sciadv.adv5019	primary	13.9	2025	https://www.wolterskluwer.com/ko-kr/solutions/ovid/science-advances-15526	Uses multiple-instance learning from patient-level labels to identify rare disease-relevant cells, including minimal residual disease settings across tissues/time points.	Makes rare-cell discovery possible without fixed annotation while retaining patient bags as the supervised unit.	Evidence is strongly leukemia/CyTOF/scRNA oriented; needs negative bags, leakage control and disease-specific revalidation.	Define patient bags and held-out donors; verify rare cells with markers/orthogonal assays; preserve annotation-free status.	Methods: bag construction, splits and controls; Results: patient-level performance/rare-cell rate; Legend: inferred cells; Discussion: disease-transfer limit.
SC20R	scRNA-seq	trajectory-transient-events	Single-cell trajectory inference for detecting transient events in biological processes	2026-04-01	Nucleic Acids Research	Oxford University Press	10.1093/nar/gkag368	42033223	https://doi.org/10.1093/nar/gkag368	primary	15.0	2025	https://academic.oup.com/nar	scTransient uses wavelet-based scoring to detect transient events along an upstream supervised pseudotime.	Requires transient-event claims to inherit and report uncertainty from the chosen pseudotime and window/scale.	Upstream ordering error, window choice and signal-to-noise can generate or hide transient events; pseudotime is not observed time.	Test roots/orderings and wavelet scales; confirm transient markers in measured time or orthogonal assays.	Methods: pseudotime, supervision and scale; Results: event stability; Legend: inferred axis; Discussion: ordering/SNR limits.
SC21	scRNA-seq	trajectory-DE	Interpretable trajectory inference with single-cell linear adaptive negative-binomial expression (scLANE) testing	2026-01-14	Nucleic Acids Research	Oxford University Press	10.1093/nar/gkaf1494	41533563	https://doi.org/10.1093/nar/gkaf1494	primary	15.0	2025	https://academic.oup.com/nar	Provides interpretable negative-binomial trajectory expression testing with splines and GEE/GLMM support for multi-subject designs.	Makes subject-aware trajectory testing and interpretable gene curves preferable to cell-only trend p values.	Operates downstream of a chosen pseudotime/trajectory; root and ordering errors propagate into gene tests.	Use multi-subject design; vary roots/trajectories; report curve uncertainty and donor-level consistency.	Methods: trajectory, spline and subject model; Results: curve/effect/FDR; Legend: inferred pseudotime; Discussion: upstream-order dependence.
SC22	paired scRNA-seq+scATAC-seq	velocity-multiome	ArchVelo: archetypal velocity modeling for single-cell multi-omic trajectories	2026-06-06	Nature Communications	Nature Portfolio	10.1038/s41467-026-74000-4	42248920	https://doi.org/10.1038/s41467-026-74000-4	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Combines paired chromatin accessibility and RNA through archetypal velocity modeling to infer trajectories, latent time and candidate transcription factors.	Restricts ArchVelo use to paired multiome data and separates TF nomination from validated regulation.	Not an scRNA-only velocity method; paired-modality quality and kinetic assumptions matter; TF hypotheses require perturbation.	Verify pairing and modality QC; test trajectory sensitivity; validate candidate TFs experimentally.	Methods: paired data, kinetics and archetypes; Results: stability/uncertainty; Legend: inferred velocity/time; Discussion: no fate or TF causality claim.
SC23R	lineage tracing+scRNA-seq	lineage-maps	Inferring cell differentiation maps from lineage tracing data	2025-12-08	Nature Methods	Nature Portfolio	10.1038/s41592-025-02903-z	41360958	https://doi.org/10.1038/s41592-025-02903-z	primary	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Carta optimizes differentiation maps from single-cell lineage-tracing trees while permitting convergent differentiation and unobserved progenitors.	Requires lineage claims to use lineage measurements and allows non-tree state maps when biology supports convergence.	Needs reliable lineage trees; barcode/tree errors propagate and it cannot be applied to expression snapshots alone.	Audit lineage-tree quality; compare map constraints; distinguish observed barcodes from inferred progenitors.	Methods: lineage assay/tree and optimization; Results: map support/sensitivity; Legend: observed versus inferred nodes; Discussion: tracing-error limits.
SC24	scRNA-seq	cell-cell-communication	Dissecting crosstalk induced by cell-cell communication using single-cell transcriptomic data	2025-07-01	Nature Communications	Nature Portfolio	10.1038/s41467-025-61149-7	40593827	https://doi.org/10.1038/s41467-025-61149-7	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	SigXTalk links receptors, transcription factors and target genes in hypergraphs to nominate pathway crosstalk, including time-course applications.	Raises the evidentiary bar from ligand-receptor co-expression to a coherent receptor-TF-target hypothesis while retaining causal limits.	Depends on expression and network priors; does not demonstrate physical contact, signal flow or causality.	Check donor replication and prior versions; test downstream targets; add spatial/protein and perturbation validation.	Methods: databases, hypergraph and null; Results: supported paths/effects; Legend: inferred edges; Discussion: compatibility not causality.
SC25	scRNA-seq	cell-cell-communication	FastCCC: a permutation-free framework for scalable, robust, and reference-based cell-cell communication analysis in single cell transcriptomics studies	2025-12-13	Nature Communications	Nature Portfolio	10.1038/s41467-025-66272-z	41390348	https://doi.org/10.1038/s41467-025-66272-z	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses analytical p values and modular algebra for scalable CCC and supplies a reference panel built from roughly 16 million cells across 19 tissues.	Separates computational scalability/significance from biological effect and makes reference-panel provenance explicit.	Reference/model bias persists; analytical p values are not effect sizes, donor replication or causal signaling.	Report effect and donor consistency; audit reference compatibility; validate top sender-receiver hypotheses orthogonally.	Methods: reference, algebra/null and aggregation; Results: effect plus significance; Legend: sample n and inferred edge; Discussion: reference/causal limits.
SC26	Perturb-seq	gene-regulatory-networks	D-SPIN constructs regulatory network models from scRNA-seq that reveal organizing principles of perturbation response	2026-05-12	Cell	Cell Press	10.1016/j.cell.2026.04.028	42127893	https://doi.org/10.1016/j.cell.2026.04.028	primary	45.1	2025	https://www.sciencedirect.com/journal/cell/about/insights	Constructs interpretable generative regulatory models across thousands of perturbations and predicts state proportions including unseen dose combinations.	Connects observed perturbation responses to testable network hypotheses while requiring interpolation/OOD and identifiability checks.	Network non-identifiability and context dependence; unseen dose combinations are predictions until tested.	Compare network edges across perturbations; test dose holdouts/simple baselines; validate prioritized regulators experimentally.	Methods: perturbations, model and holdouts; Results: edge/dose uncertainty; Legend: observed versus predicted; Discussion: hypothesis and interpolation limits.
SC27	Perturb-seq	causal-GRN	PSGRN: Gene regulatory network inference from single-cell perturbational data through self-training with synthetic gold standards	2026-04-29	Science Advances	AAAS	10.1126/sciadv.aeb3376	42054465	https://doi.org/10.1126/sciadv.aeb3376	primary	13.9	2025	https://www.wolterskluwer.com/ko-kr/solutions/ovid/science-advances-15526	Combines interventional and observational single-cell data with self-training on synthetic gold standards and evaluation using CausalBench.	Prioritizes interventional support for GRN edges while forcing explicit discussion of the truth set used for training/evaluation.	Synthetic priors and available ground truth are incomplete; precision/recall may not transfer to new biological contexts.	Audit synthetic-gold construction and overlap; validate edges in independent perturbations and functional assays.	Methods: interventions, synthetic standards and benchmark split; Results: edge precision/recall; Legend: evidence type; Discussion: incomplete-truth limit.
SC28	Perturb-seq	perturbation-heterogeneity	Decoding heterogeneous single-cell perturbation responses	2025-02-26	Nature Cell Biology	Nature Portfolio	10.1038/s41556-025-01626-9	40011559	https://doi.org/10.1038/s41556-025-01626-9	primary	22.7	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Introduces a perturbation-response score to resolve partial knockdown, dose and buffered versus sensitive single-cell responses.	Makes heterogeneous target engagement part of the estimand rather than averaging all guide-positive cells.	Score is relative and can reflect efficiency or confounding; needs controls and experimental validation.	Quantify target engagement; stratify response; model dose/efficiency; validate sensitive and buffered states.	Methods: score, controls, dose and efficiency; Results: response distribution; Legend: score interpretation; Discussion: relative/confounded response.
SC29	Perturb-seq	perturbation-effect-modeling	GPerturb: Gaussian process modelling of single-cell perturbation data	2025-07-01	Nature Communications	Nature Portfolio	10.1038/s41467-025-61165-7	40593897	https://doi.org/10.1038/s41467-025-61165-7	primary	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Uses sparse Gaussian processes to estimate gene-level effects and uncertainty for discrete and continuous perturbations.	Requires uncertainty-aware effect estimation and accommodates continuous perturbation intensity instead of binary guide status alone.	Additive/kernel assumptions may miss high-order nonlinear effects; uncertainty is conditional on the fitted model.	Audit kernel/model fit; compare dose representations and simple baselines; validate nonlinear/high-effect genes.	Methods: GP/kernel, dose and approximation; Results: effect/uncertainty; Legend: posterior quantity; Discussion: model-conditional limits.
SC30	Perturb-seq	perturbation-prediction	Benchmarking algorithms for generalizable single-cell perturbation response prediction	2025-12-11	Nature Methods	Nature Portfolio	10.1038/s41592-025-02980-0	41381899	https://doi.org/10.1038/s41592-025-02980-0	benchmark	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Benchmarks 27 methods on 29 datasets across unseen-context and unseen-perturbation scenarios, including foundation models.	Requires scenario-specific OOD splits and simple baselines; no model may be called generally predictive from one random-cell split.	Rankings depend on scenario/data; unseen-perturbation prediction remains difficult and aggregate metrics can hide gene failures.	Define held-out domain; prevent leakage; add linear/control baselines and gene/pathway/distribution metrics.	Methods: splits, baselines and metrics; Results: scenario-stratified performance; Legend: seen/unseen status; Discussion: OOD failures.
SC31R	Perturb-seq	pathway-signatures	Systematic reconstruction of molecular pathway signatures using scalable single-cell perturbation screens	2025-02-26	Nature Cell Biology	Nature Portfolio	10.1038/s41556-025-01622-z	40011560	https://doi.org/10.1038/s41556-025-01622-z	primary	22.7	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Screens more than 1,500 perturbations in six cell lines and five contexts, using Mixscale to handle perturbation efficiency and derive conserved pathway signatures.	Requires pathway signatures to account for perturbation efficiency and be tested across cellular contexts before transfer.	Cell-line/context specific; conservation across screened lines does not establish patient-tissue validity.	Audit efficiency adjustment; compare contexts; freeze signatures and recalibrate/validate in tissue or patient data.	Methods: screen, contexts and efficiency model; Results: cross-context conservation; Legend: cell line/perturbation n; Discussion: patient-transfer limit.
SC32	Perturb-seq	perturbation-evaluation	Systema: a framework for evaluating genetic perturbation response prediction beyond systematic variation	2025-08-25	Nature Biotechnology	Nature Portfolio	10.1038/s41587-025-02777-8	40854979	https://doi.org/10.1038/s41587-025-02777-8	benchmark	44.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Shows across ten datasets, three technologies and five cell lines that systematic perturbed-control variation and perturbation selection can inflate response-prediction metrics.	Makes perturbation-specific signal beyond systematic variation a mandatory evaluation target.	Evaluation framework rather than a predictive model; controlling variation does not solve unseen-perturbation generalization.	Apply variation-aware controls; reconstruct perturbation/dataset splits; report baseline-relative gene-level performance.	Methods: systematic-variation control and selection; Results: corrected versus naive metrics; Legend: evaluation target; Discussion: residual generalization limit.
SC33R	scRNA-seq drug perturbation	foundation-model-drug-response	scDrugMap: benchmarking large foundation models for drug response prediction	2025-12-11	Nature Communications	Nature Portfolio	10.1038/s41467-025-67481-2	41381537	https://doi.org/10.1038/s41467-025-67481-2	benchmark	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Benchmarks eight single-cell foundation models and two LLMs on about 495,000 cells from 60 datasets under pooled, cross-dataset, fine-tuned and zero-shot drug-response settings.	Prevents a single winner claim across transfer settings and requires evaluation mode to be named explicitly.	Cancer drug-response focus; accuracy does not establish calibration, mechanism, prospective benefit or other-disease transfer.	Stratify by transfer setting; audit dataset overlap; compare specialist baselines; report calibration and prospective test needs.	Methods: models, corpus overlap and setting; Results: setting-specific baseline-relative metrics; Legend: zero-shot/fine-tuned status; Discussion: domain/prospective limits.
SC34	scRNA-seq	foundation-model-scaling	Evaluating the role of pretraining dataset size and diversity on single-cell foundation model performance	2026-06-09	Nature Methods	Nature Portfolio	10.1038/s41592-026-03120-y	42265208	https://doi.org/10.1038/s41592-026-03120-y	benchmark	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics	Evaluates 400 models in 6,400 experiments over 22.2 million cells and finds early performance plateaus with no clear universal scaling law in tested settings.	Rejects model/data size as a proxy for utility and requires task-level evidence against smaller/simple baselines.	Conclusion is bounded to tested architectures, objectives, corpora and tasks; future methods may scale differently.	Audit task fit and corpus diversity/overlap; compare smaller models and baselines; select by held-out utility and compute.	Methods: corpus, model sizes/objectives and tasks; Results: scaling curves/uncertainty; Legend: data/model scale; Discussion: tested-scope boundary.
